osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
1758293374,4,,,POINT (-77.1348184 -11.8452497),435198459,0.061871052480866495
1273982339,4,,,POINT (-76.98054620000001 -12.1980443),437647280,0.043954924009125984
4367117704,4,,,POINT (-76.9480982 -12.1944526),481692453,0.021710977162319754
4367117707,4,,,POINT (-76.94743649999999 -12.1956178),481692453,0.02037517042896326
1758293395,4,,,POINT (-77.1345894 -11.8456291),435198459,0.06152934520891241
1273523603,3,traffic_signals,,POINT (-77.12639660000001 -12.044519),435879639,0.03672238410712843
5080051093,3,,,POINT (-76.8224491 -12.0299796),438031676,0.12939051944047875
1381395861,3,,,POINT (-77.09050019999999 -11.9511497),4366593002,0.016477572865259336
1381395868,3,,,POINT (-77.0931338 -11.9511556),4366593002,0.017689019973421236
442363294,3,,,POINT (-77.1087124 -12.062749),435879639,0.012272507977092123
1381395874,3,,,POINT (-77.0901923 -11.9515482),4366593002,0.015989785140833147
1241378214,3,,,POINT (-77.0393005 -11.8978874),4336173733,0.0006586964247668668
4365118887,3,,,POINT (-76.9510775 -12.0977691),7557707387,0.023690325966525705
4365118888,3,,,POINT (-76.9510343 -12.0978695),7557707387,0.023794988065557084
1758293414,4,,,POINT (-77.13140110000001 -11.8462129),435198459,0.058328565115695244
316632492,4,traffic_signals,,POINT (-77.02767059999999 -12.0498055),4438338190,0.004428471891070749
1758293422,4,,,POINT (-77.13411720000001 -11.8464113),435198459,0.06082891457031631
316632494,4,,,POINT (-77.0282194 -12.0508769),4438338190,0.004698393100835699
1404104112,4,traffic_signals,,POINT (-76.9486151 -12.2135993),481692453,0.012699947693629799
1404104115,4,,,POINT (-76.9380973 -12.2312058),481692453,0.01886862771319647
1273687476,4,,,POINT (-76.8845269 -12.0163833),438031676,0.07009952666156573
5080051125,3,,,POINT (-76.8215414 -12.0288767),438031676,0.1303570085325364
263384500,3,,,POINT (-77.059794 -12.0888121),436318203,0.001925535065315758
263384503,4,traffic_signals,,POINT (-77.0578407 -12.0900987),436318203,0.0004950335825469781
1641409977,4,,,POINT (-76.69362150000001 -11.9323399),4377990018,0.004226400819844513
263384504,4,traffic_signals,,POINT (-77.05772519999999 -12.0901769),436318203,0.000619178539310869
914288060,4,,,POINT (-76.85329489999999 -12.2196614),481692453,0.08298489453264463
1381395898,4,,,POINT (-77.0898402 -11.9520037),4366593002,0.0154334084741502
914288066,4,,,POINT (-76.854023 -12.221489),481692453,0.08243971658584061
4276481476,3,,,POINT (-76.909199 -12.0220683),438031676,0.04486392147043188
4276481477,4,,,POINT (-76.9091025 -12.0223591),438031676,0.044862716320736115
4276481478,3,,,POINT (-76.909077 -12.0224236),438031676,0.04486662150055547
914288072,3,,,POINT (-76.855627 -12.2230804),481692453,0.0810387661716876
1384279497,4,traffic_signals,,POINT (-77.08477670000001 -11.9549352),4366593002,0.01135529330885071
1758293446,3,,,POINT (-77.12876900000001 -11.8470917),435198459,0.055554306871995564
1384279504,3,,,POINT (-77.09493980000001 -11.9559721),4366593002,0.01507109972663379
1404104145,4,,,POINT (-76.9349208 -12.2343069),481692453,0.021874045561487025
1241378259,3,,,POINT (-77.04036619999999 -11.8960057),4336173733,0.002800454377417586
1273687511,3,,,POINT (-76.8859501 -12.0281384),438031676,0.06625570320186526
1384279514,4,,,POINT (-77.0911825 -11.9562167),4366593002,0.012389935633409628
1404104155,3,,,POINT (-76.966589 -12.1804606),437647280,0.02215117304165599
1758293466,3,,,POINT (-77.1275503 -11.8474197),435198459,0.05429656692519644
108031454,3,,,POINT (-77.0368359 -12.1025096),435359273,0.0112610040650486
