osmid,highway,street_count,geometry,NN,NN_dist
605673316,,4,POINT (-77.0688555 -12.0875026),605673316,0.0
605673321,,4,POINT (-77.06892790000001 -12.0874801),605673321,0.0
605673328,,4,POINT (-77.06992630000001 -12.0871295),605673328,0.0
605673340,,4,POINT (-77.0709797 -12.0867215),605673847,0.001041129122639503
605673345,,5,POINT (-77.07197789999999 -12.0863514),605673345,0.0
605673350,,4,POINT (-77.0730501 -12.0859931),605673345,0.0011304829631718378
605673376,,3,POINT (-77.06479179999999 -12.0882447),263386686,0.0008756803126627646
605673385,,4,POINT (-77.067615 -12.087123),605673391,0.0010268221267519932
605673391,,4,POINT (-77.0685678 -12.0867402),605673391,0.0
605673395,,3,POINT (-77.06864760000001 -12.0867165),605673391,8.324499985827677e-05
605673399,,4,POINT (-77.0696373 -12.0863567),605673328,0.0008250702030769313
605673417,,4,POINT (-77.0707043 -12.0859895),605673420,0.001074393861673278
605673420,,3,POINT (-77.0717094 -12.0856099),605673420,0.0
605673437,,3,POINT (-77.0641844 -12.0875157),263386686,0.00022316426685047605
605673450,,4,POINT (-77.0673384 -12.0863761),605673455,0.001025834548063182
605673455,,4,POINT (-77.068293 -12.0860005),605673455,0.0
605673459,,4,POINT (-77.0683684 -12.085976),605673455,7.928057769734237e-05
605673468,,4,POINT (-77.06936779999999 -12.0856142),605673455,0.0011421132737149124
605673477,,4,POINT (-77.0704336 -12.0852388),605673483,0.0010928174824731216
605673483,,5,POINT (-77.0714605 -12.084865),605673483,0.0
605673492,,3,POINT (-77.0724475 -12.0845172),605673483,0.0010464864260897714
605673635,,4,POINT (-77.06898080000001 -12.0907887),605673635,0.0
605673657,,4,POINT (-77.06934149999999 -12.0917474),605673657,0.0
605673663,,4,POINT (-77.0697239 -12.0927347),605673663,0.0
605673676,,4,POINT (-77.0701037 -12.0937486),605673676,0.0
605673686,,4,POINT (-77.0704628 -12.0947617),263386000,0.000477237100401871
605673704,,3,POINT (-77.0707046 -12.0954237),1943098936,0.0003441354529843452
605673726,,3,POINT (-77.06806349999999 -12.0922254),263386171,0.0010721503066329456
605673732,,4,POINT (-77.07031379999999 -12.0913986),605673732,0.0
605673738,,4,POINT (-77.070382 -12.0913737),605673732,7.260337457821522e-05
605673743,,3,POINT (-77.0714128 -12.0910192),605674075,0.0010420043186056102
605673799,,3,POINT (-77.0673503 -12.0913633),380908323,0.001091201732038123
605673826,traffic_signals,4,POINT (-77.0659656 -12.0896528),4347743565,0.00012058760301329266
605673839,traffic_signals,4,POINT (-77.0692758 -12.0884467),605673839,0.0
605673844,,4,POINT (-77.0702991 -12.0880843),605673844,0.0
605673847,,6,POINT (-77.07130410000001 -12.0877108),605673847,0.0
605673864,,4,POINT (-77.07239730000001 -12.0873361),605673864,0.0
