osmid,y,x,street_count,highway,geometry
30970308,-13.4955895,-72.0421621,3,,POINT (-72.0421621 -13.4955895)
30970383,-13.5248132,-71.9777541,3,,POINT (-71.9777541 -13.5248132)
30970384,-13.524934,-71.9780822,4,,POINT (-71.9780822 -13.524934)
30970391,-13.5413891,-71.9317348,3,,POINT (-71.9317348 -13.5413891)
30970409,-13.5250551,-71.9724782,4,,POINT (-71.9724782 -13.5250551)
30970410,-13.5230005,-71.9743661,4,,POINT (-71.9743661 -13.5230005)
30970412,-13.5176772,-71.9788731,3,traffic_signals,POINT (-71.9788731 -13.5176772)
30970414,-13.517713,-71.9789258,3,,POINT (-71.9789258 -13.517713)
30970417,-13.5231069,-71.9743579,4,traffic_signals,POINT (-71.9743579 -13.5231069)
30970420,-13.528836,-71.9793309,4,,POINT (-71.97933089999999 -13.528836)
30970421,-13.5290365,-71.9793637,3,,POINT (-71.97936369999999 -13.5290365)
30970422,-13.5325026,-71.9802404,3,,POINT (-71.9802404 -13.5325026)
30970485,-13.5731878,-71.8242525,3,,POINT (-71.8242525 -13.5731878)
30970486,-13.5724031,-71.8257628,3,,POINT (-71.82576280000001 -13.5724031)
30970686,-13.5295929,-71.9580476,3,,POINT (-71.9580476 -13.5295929)
30970689,-13.5299434,-71.9586187,3,,POINT (-71.9586187 -13.5299434)
30970691,-13.529386,-71.9584938,4,,POINT (-71.9584938 -13.529386)
30970693,-13.5296587,-71.9597412,3,,POINT (-71.9597412 -13.5296587)
30970695,-13.529922,-71.9597716,3,,POINT (-71.9597716 -13.529922)
30970701,-13.5290044,-71.9599907,4,,POINT (-71.95999070000001 -13.5290044)
30970702,-13.5305487,-71.9606797,3,,POINT (-71.9606797 -13.5305487)
30970704,-13.5295992,-71.9607178,3,,POINT (-71.9607178 -13.5295992)
30970708,-13.5298558,-71.9607216,3,,POINT (-71.9607216 -13.5298558)
30970709,-13.5299286,-71.9623257,3,,POINT (-71.96232569999999 -13.5299286)
30970710,-13.5292826,-71.9626982,4,,POINT (-71.96269820000001 -13.5292826)
30970711,-13.5291669,-71.9627717,4,,POINT (-71.9627717 -13.5291669)
30970712,-13.5268211,-71.9598664,3,,POINT (-71.9598664 -13.5268211)
30970713,-13.5298892,-71.9615265,4,,POINT (-71.96152650000001 -13.5298892)
30970714,-13.5294645,-71.9615515,4,,POINT (-71.9615515 -13.5294645)
30970715,-13.5288768,-71.9616053,3,,POINT (-71.9616053 -13.5288768)
30970720,-13.5297827,-71.9623743,3,,POINT (-71.96237429999999 -13.5297827)
30970723,-13.5316256,-71.9604012,3,,POINT (-71.96040120000001 -13.5316256)
30970725,-13.5311601,-71.9647881,3,,POINT (-71.96478810000001 -13.5311601)
30970726,-13.5307871,-71.9662139,3,,POINT (-71.9662139 -13.5307871)
30970727,-13.5318013,-71.9663274,3,,POINT (-71.9663274 -13.5318013)
30970729,-13.5318411,-71.9658883,3,,POINT (-71.9658883 -13.5318411)
30970730,-13.5307758,-71.9651638,3,,POINT (-71.9651638 -13.5307758)
30970731,-13.5318985,-71.9652956,3,,POINT (-71.9652956 -13.5318985)
30970732,-13.5312097,-71.9643227,3,,POINT (-71.9643227 -13.5312097)
30970733,-13.531985,-71.964398,3,,POINT (-71.964398 -13.531985)
30970734,-13.5307437,-71.9647518,3,,POINT (-71.9647518 -13.5307437)
30970736,-13.5319369,-71.9648669,3,,POINT (-71.9648669 -13.5319369)
30970737,-13.5312646,-71.9637734,3,,POINT (-71.96377339999999 -13.5312646)
30970738,-13.5320456,-71.9638462,3,,POINT (-71.96384620000001 -13.5320456)
30970739,-13.5312942,-71.9633549,3,,POINT (-71.9633549 -13.5312942)
30970740,-13.532088,-71.9634436,3,,POINT (-71.96344360000001 -13.532088)
30970741,-13.5313484,-71.9628636,3,,POINT (-71.96286360000001 -13.5313484)
30970742,-13.5321462,-71.9629486,3,,POINT (-71.9629486 -13.5321462)
30970743,-13.5313986,-71.9623158,3,,POINT (-71.9623158 -13.5313986)
30970744,-13.5321984,-71.9623907,3,,POINT (-71.9623907 -13.5321984)
30970745,-13.531448,-71.9618969,3,,POINT (-71.9618969 -13.531448)
30970746,-13.5314929,-71.9614388,3,,POINT (-71.9614388 -13.5314929)
30970747,-13.5322427,-71.9619777,3,,POINT (-71.96197770000001 -13.5322427)
30970748,-13.5322949,-71.9614976,3,,POINT (-71.9614976 -13.5322949)
30970749,-13.5315573,-71.960897,3,,POINT (-71.960897 -13.5315573)
30970750,-13.5323358,-71.9609977,3,,POINT (-71.96099769999999 -13.5323358)
30970751,-13.5360208,-71.9557482,3,,POINT (-71.9557482 -13.5360208)
30970755,-13.5352408,-71.9583246,3,,POINT (-71.9583246 -13.5352408)
