osmid,y,x,street_count,highway,geometry
4428262053,-13.5482449,-71.8756608,3,,POINT (-71.87566080000001 -13.5482449)
30984870,-13.5189926,-71.967404,3,,POINT (-71.967404 -13.5189926)
31001254,-13.5346801,-71.9910375,1,,POINT (-71.9910375 -13.5346801)
31001258,-13.5327277,-71.9901778,3,,POINT (-71.9901778 -13.5327277)
31001260,-13.5327659,-71.9897015,4,,POINT (-71.9897015 -13.5327659)
3710880429,-13.5277646,-71.9576038,4,,POINT (-71.9576038 -13.5277646)
30984880,-13.5175095,-71.9675921,4,,POINT (-71.9675921 -13.5175095)
4428262065,-13.5488481,-71.871897,3,,POINT (-71.871897 -13.5488481)
4428262067,-13.55033,-71.8727654,3,,POINT (-71.87276540000001 -13.55033)
4428262068,-13.5506695,-71.8719363,3,,POINT (-71.8719363 -13.5506695)
3400714932,-13.5310777,-71.9509733,3,,POINT (-71.9509733 -13.5310777)
4428262070,-13.5508745,-71.8703716,3,,POINT (-71.8703716 -13.5508745)
3400714936,-13.5312436,-71.9513476,5,,POINT (-71.95134760000001 -13.5312436)
4428262075,-13.5520506,-71.8860013,3,,POINT (-71.8860013 -13.5520506)
4428262076,-13.551262,-71.8880349,3,,POINT (-71.88803489999999 -13.551262)
4428262077,-13.5508465,-71.8890701,4,,POINT (-71.8890701 -13.5508465)
4428262078,-13.5499659,-71.8913439,1,,POINT (-71.8913439 -13.5499659)
4428262079,-13.5501701,-71.8908167,3,,POINT (-71.8908167 -13.5501701)
4428262081,-13.5503315,-71.8903999,3,,POINT (-71.89039990000001 -13.5503315)
31001296,-13.5281177,-71.9923409,3,,POINT (-71.9923409 -13.5281177)
31001297,-13.5283863,-71.9921415,3,,POINT (-71.9921415 -13.5283863)
31001298,-13.5287021,-71.9911592,3,,POINT (-71.9911592 -13.5287021)
6868159190,-13.5224186,-71.9257956,3,,POINT (-71.9257956 -13.5224186)
3400714967,-13.5320484,-71.9515428,3,,POINT (-71.9515428 -13.5320484)
