osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist
1379581609,3,,,POINT (-77.056333 -12.0309009),465071802,0.016028967133048477
2177253034,3,,,POINT (-76.9628591 -12.0471215),439195372,0.006249271343933614
1946304174,3,,,POINT (-77.0026448 -12.0041055),5519669522,0.011076494323562806
3672981167,3,,,POINT (-77.0774126 -12.0485206),465071802,0.020088600580688037
1355562672,4,traffic_signals,,POINT (-77.0783275 -12.064258),465071802,0.0356738137544566
1379581617,3,,,POINT (-77.0556589 -12.0315784),465071802,0.016785418472471707
844545715,3,,,POINT (-77.1017441 -12.0079042),465071802,0.036313659750209434
1330495156,4,,,POINT (-77.05478840000001 -11.9789855),301604752,0.010904117233243239
31080119,4,,,POINT (-77.0238714 -12.0426427),4438338989,0.012210788427444589
1379581624,3,,,POINT (-77.0552326 -12.0319742),465071802,0.01726853855356763
1330495160,3,,,POINT (-77.0574733 -11.9813283),301604752,0.007761892559762896
1379581626,3,,,POINT (-77.05627819999999 -12.0320401),465071802,0.016250192844315735
31080123,4,,,POINT (-77.0220396 -12.0423551),4438338989,0.013806545648347001
1379581627,3,,,POINT (-77.0564538 -12.0321368),465071802,0.016095456078223436
31080125,4,,,POINT (-77.02505650000001 -12.0448226),4438338989,0.009911642822450294
4938677950,4,,,POINT (-76.9900667 -12.0646862),4818433021,0.017403239850383
1379581630,3,,,POINT (-77.0577598 -12.0322693),465071802,0.014842589991898416
1355562681,4,,,POINT (-77.04893199999999 -12.0626389),4119489600,0.014758254479776503
1273675457,4,,,POINT (-77.053134 -12.0567176),4119489600,0.016617051214942218
1316929209,3,,,POINT (-77.0245283 -11.9133112),679438717,0.032574933860748306
1379581635,3,,,POINT (-77.0540316 -12.0328749),465071802,0.018615284305238868
7729987267,3,,,POINT (-77.01993469999999 -12.0273048),5519669522,0.02064155034487405
1330495168,3,,,POINT (-77.0533284 -11.9849828),301604752,0.007261700598355586
1330495175,3,,,POINT (-77.0582938 -11.9815612),301604752,0.007360128307803937
3672981192,3,,,POINT (-77.0840255 -12.0612091),465071802,0.03419291768576888
3672981193,3,,,POINT (-77.0825973 -12.0610206),465071802,0.0335488126305721
1379581645,3,motorway_junction,11A,POINT (-77.0516836 -12.0340737),3965041957,0.020740535678953242
1355562707,3,,,POINT (-77.08032300000001 -12.0606615),465071802,0.032571236770744104
1832795859,4,,,POINT (-77.0741563 -12.076272),4469386913,0.03990569530004202
1355562709,4,,,POINT (-77.05319110000001 -12.0657262),4338622519,0.01992785598604338
1355562712,3,,,POINT (-77.07703170000001 -12.0598201),465071802,0.031084582264029065
4352851672,4,,,POINT (-77.0209905 -12.0415052),4438338989,0.015156291452725464
9533898464,3,,,POINT (-77.046755 -11.9765044),301604752,0.017719231430067494
1379581666,3,,,POINT (-77.04699599999999 -12.0355124),3965041957,0.016766211057354888
419872485,3,,,POINT (-76.9706248 -12.1089525),4818433021,0.033742815307113816
31080171,4,,,POINT (-77.0559226 -11.966191),301604752,0.022911888946235224
4365467381,3,,,POINT (-77.07143069999999 -11.963773),301604752,0.02774994282411523
4365467383,3,,,POINT (-77.0716836 -11.963923),301604752,0.027724890987753627
4363632381,4,,,POINT (-76.9859293 -12.1604444),408686631,0.03174891309619167
3793010430,4,,,POINT (-76.91976699999999 -12.2241944),458599264,0.014915116552598003
