osmid,street_count,highway,ref,geometry,school_osmid,school_dist
639107769,4,,,POINT (-77.0695173 -12.0776763),4744286623,0.0020227677919141982
1843102397,3,,,POINT (-77.0595287 -12.0491297),5577268354,0.0011221339536723561
316801727,4,traffic_signals,,POINT (-77.0716279 -12.0965559),446745083,0.0014424319186994144
316801728,4,traffic_signals,,POINT (-77.0718665 -12.0971215),446745080,0.0014354560109725292
3042149058,4,,,POINT (-77.049986 -12.0233623),5577194632,0.00042673505831710416
1399063237,4,,,POINT (-77.0529906 -12.0630576),2054044572,0.0015894306936773007
817660614,3,,,POINT (-77.01017710000001 -11.9816008),5595325143,0.00019503140772882843
1273594567,3,,,POINT (-76.9199613 -12.1646756),5258308079,0.0023187667519655245
1399063249,4,,,POINT (-77.05313990000001 -12.0635805),2054044545,0.001546073174205386
1938227922,3,,,POINT (-76.9815476 -12.025095),1966842428,0.0009223936957785004
1342138346,3,,,POINT (-76.97726900000001 -11.965145),5595318797,0.00037739248799086066
1287422680,3,,,POINT (-77.02262469999999 -12.200434),5256212336,0.002402286046666415
262573997,3,,,POINT (-77.0182427 -12.1194434),5595045326,0.002808193714828885
1273889504,4,,,POINT (-76.9417274 -12.1412241),441998030,0.0011070752999339844
3738206957,4,,,POINT (-76.8752374 -12.0032564),5596845424,0.0012780159662523047
3630203630,4,,,POINT (-77.000917 -12.1057999),507987342,0.002978886085006167
627180271,4,,,POINT (-77.0877102 -12.0401887),5565300976,0.004171430820473002
885687025,4,,,POINT (-77.0649007 -12.0326593),5577203091,0.0008120040701880174
262570744,4,,,POINT (-77.0368074 -12.1115747),435338676,0.0005040252101825363
885687041,4,,,POINT (-77.06497899999999 -12.0332369),5577203091,0.0006443443954939135
7556301576,3,,,POINT (-76.8139493 -12.1184021),5258345869,0.002612705312506113
6829179665,3,,,POINT (-76.92836819999999 -12.2056812),371049066,0.002745037701788252
262570769,4,,,POINT (-77.0357796 -12.1140021),435338678,0.0017387716085231254
4927554323,3,,,POINT (-77.0251567 -12.0755623),5594724723,0.0005150915452548404
4224615189,4,,,POINT (-76.92531719999999 -12.2322424),5597051465,0.0018761577972026251
1273725720,4,traffic_signals,,POINT (-77.017957 -12.0616338),5593378493,0.0007617294664127743
370967339,4,traffic_signals,,POINT (-77.01858850000001 -12.1046911),5594918315,0.0021977380417136675
629048130,4,,,POINT (-77.130763 -12.0669917),436257932,0.023671534476778982
6162088771,3,,,POINT (-76.8901328 -12.2316),503787469,0.0028933699011100184
1396409155,4,,,POINT (-77.06331849999999 -12.0628059),5577332743,0.0010455650386193209
1273889605,3,,,POINT (-76.9476866 -12.0343179),437869383,0.0016332895789126559
844464967,4,,,POINT (-77.0782153 -12.0123171),5577086877,0.001597072371563649
821756744,3,,,POINT (-77.0106284 -12.0178797),1966842518,0.0006143134134938791
263390027,4,,,POINT (-77.0509588 -12.085315),295176823,0.002461269470647062
3996615508,3,,,POINT (-77.1158757 -12.0405774),426065710,0.02256826441418881
4283138901,3,,,POINT (-76.9600749 -12.1216668),5597143964,0.00407505478981569
370967384,4,traffic_signals,,POINT (-77.01860069999999 -12.1044521),5594918315,0.0019743108012713734
1573127001,4,,,POINT (-76.9648189 -12.1695731),5597245871,0.0022876583704787077
5577540442,3,,,POINT (-77.0134082 -12.1005592),181366213,0.002683851073996201
1573127003,4,traffic_signals,,POINT (-76.9718163 -12.1538612),5597272175,0.0012077205719827485
387416929,3,,,POINT (-77.0012191 -12.128353),33750036,0.0015691999343379352
1573127009,3,,,POINT (-76.9627151 -12.1796264),5597270624,0.0016990316359693919
3740697448,4,,,POINT (-76.89441619999999 -12.2287976),5256670440,0.0012790700723574026
263390056,4,,,POINT (-77.0520619 -12.0813513),436301901,0.0017026024271474365
263390064,3,,,POINT (-77.0507387 -12.0852956),295176823,0.0022970087469699326
1573127026,4,,,POINT (-76.9623388 -12.1728396),5597259928,0.00044681079888260125
1834091379,3,,,POINT (-76.9466762 -12.0926307),160698139,0.0037075627261499446
1834091381,3,,,POINT (-76.9466475 -12.0927139),160698139,0.0037245756128136244
1834091391,4,,,POINT (-76.9461761 -12.093958),160698139,0.004238064726434322
1426686852,3,,,POINT (-77.032191 -12.0923859),435866451,0.001350521280007187
1426686853,3,,,POINT (-77.0331267 -12.0921918),5594902747,0.0008933838704662236
1573127046,4,,,POINT (-76.967602 -12.1724742),5597245872,0.0013902987952254696
1273824143,3,,,POINT (-76.9242023 -12.234109),5597051459,0.002037094295809586
1573127058,3,,,POINT (-76.9704268 -12.1491812),5597208099,0.0011586923189563563
1396409237,4,traffic_signals,,POINT (-77.0757031 -12.0593211),5577322019,0.001687660501996679
262570902,4,,,POINT (-77.03579430000001 -12.1158686),435695418,0.0018630617468468427
1426686872,3,,,POINT (-77.0350916 -12.0881992),5594902750,0.0016062212332102115
1573127068,4,,,POINT (-76.96163850000001 -12.1702375),5597259926,0.0006234693336498651
1396409246,3,,,POINT (-77.0692389 -12.0545654),5577292121,0.0020371805860063155
1396409247,3,,,POINT (-77.0693581 -12.0545802),5577292121,0.002084981846444991
2182644641,3,,,POINT (-77.07586259999999 -11.869173),435499680,0.0008202621000680817
1781236643,4,,,POINT (-76.972561 -12.1559597),5597272164,0.001016486640344938
263390121,4,,,POINT (-77.0506506 -12.0836422),436575404,0.002000285812679606
4356244396,3,,,POINT (-77.0068321 -12.0743407),5597287390,0.0018256945034694485
3738207151,4,,,POINT (-76.9007532 -12.0139415),5596861297,0.0033238136124026786
3738207153,3,,,POINT (-76.90103499999999 -12.0140689),5596861297,0.0030658714536028015
1814004659,3,,,POINT (-77.0293087 -11.884157),5574260089,0.0025530244103793157
