osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
5718685140,-11.9818114,-76.7961006,,3,POINT (-76.7961006 -11.9818114),1863374455,331604739,2411.608,487183431,1524458694,2758.581,483500696,4762470517,4685.488,818103399,1745790482,1407.578,4423758389,1273621776,5249.2,817307804,7638908239,2881.5120000000006,,,
5735033779,-11.9961555,-76.8205797,,3,POINT (-76.8205797 -11.9961555),1863374455,331604739,5959.79,487183431,1524458694,6306.763,483500696,4762470517,1555.7050000000002,483490600,1273537082,427.716,4423758389,1273621776,1000.2210000000001,483490575,1273971899,272.789,,,
5735042266,-11.9872828,-76.8172862,,3,POINT (-76.8172862 -11.9872828),1863374455,331604739,4971.671000000001,487183431,1524458694,5318.644000000001,483500696,4762470517,475.83599999999996,483500666,8858981459,453.392,4423758389,1273621776,351.958,483500656,1273489510,20.925,,,
5735042267,-11.9865613,-76.8175977,,3,POINT (-76.81759769999999 -11.9865613),1863374455,331604739,4990.367000000001,487183431,1524458694,5337.340000000001,483500696,4762470517,561.885,483500666,8858981459,366.303,4423758389,1273621776,434.805,483500656,1273489510,103.77199999999999,,,
5735090777,-11.9904093,-76.8211446,,4,POINT (-76.8211446 -11.9904093),1863374455,331604739,5315.241,487183431,1524458694,5662.214,483500696,4762470517,894.2300000000001,483490600,1273537082,615.9770000000001,4423758389,1273621776,327.15,5596759268,1273783788,348.02099999999996,,,
5735090782,-11.9898213,-76.8205126,,3,POINT (-76.8205126 -11.9898213),1863374455,331604739,5261.052,487183431,1524458694,5608.025,483500696,4762470517,788.5210000000001,483500666,8858981459,568.002,4423758389,1273621776,221.44099999999997,5596759268,1273783788,453.73,,,
5739350577,-11.9860995,-76.7987508,,3,POINT (-76.79875079999999 -11.9860995),1863374455,331604739,3671.6639999999998,487183431,1524458694,4018.6369999999997,483500696,4762470517,5945.544000000001,818103399,1745790482,2667.6339999999996,4423758389,1273621776,6509.255999999999,817307804,7638908239,4141.568000000001,,,
5739350578,-11.9860885,-76.7985851,,3,POINT (-76.7985851 -11.9860885),1863374455,331604739,3684.7479999999996,487183431,1524458694,4031.7209999999995,483500696,4762470517,5958.6280000000015,818103399,1745790482,2680.7179999999994,4423758389,1273621776,6522.339999999999,817307804,7638908239,4154.652000000001,,,
5761646515,-11.9840118,-76.8086345,,3,POINT (-76.8086345 -11.9840118),1863374455,331604739,3913.0489999999995,487183431,1524458694,4260.022,483500696,4762470517,759.693,483500666,8858981459,1330.172,4423758389,1273621776,1326.773,5580666577,1571275687,2602.929,,,
6065204030,-11.9777576,-76.7574298,,1,POINT (-76.7574298 -11.9777576),4749878325,1570070883,2211.592,487183431,1524458694,1968.6480000000001,483500696,4762470517,6805.111,487183429,1273900349,2345.6780000000003,318959257,1273778804,1369.2140000000002,5596729852,2910198176,717.5319999999999,,,
6065204031,-11.9764968,-76.7578695,,3,POINT (-76.7578695 -11.9764968),4749878325,1570070883,2063.463,487183431,1524458694,1820.5190000000002,483500696,4762470517,6656.981999999999,487183429,1273900349,2197.5490000000004,318959257,1273778804,1221.085,5596725535,2910194605,401.594,,,
6065204034,-11.9784433,-76.7595502,,1,POINT (-76.75955020000001 -11.9784433),4749878325,1570070883,2169.07,487183431,1524458694,1926.1260000000002,483500696,4762470517,6762.588999999999,487183429,1273900349,2303.1560000000004,318959257,1273778804,1326.6920000000002,5596729852,2910198176,675.01,,,
6065204035,-11.976746,-76.7588545,,3,POINT (-76.7588545 -11.976746),4749878325,1570070883,1952.7950000000003,487183431,1524458694,1709.8510000000003,483500696,4762470517,6546.314000000001,487183429,1273900349,2086.8810000000003,318959257,1273778804,1110.4170000000001,5596729852,2910198176,458.7349999999999,,,
6065204037,-11.9763052,-76.7572705,,3,POINT (-76.7572705 -11.9763052),4749878325,1570070883,2132.014,487183431,1524458694,1889.0700000000002,483500696,4762470517,6725.533,487183429,1273900349,2266.1000000000004,318959257,1273778804,1289.6360000000002,5596725535,2910194605,470.145,,,
6065204038,-11.9766301,-76.7571634,,1,POINT (-76.7571634 -11.9766301),4749878325,1570070883,2169.9730000000004,487183431,1524458694,1927.0290000000005,483500696,4762470517,6763.491999999999,487183429,1273900349,2304.0590000000007,318959257,1273778804,1327.5950000000003,5596725535,2910194605,508.10400000000004,,,
