osmid,ref,highway,street_count,geometry,NN,NN_dist
1382690479,,,3,POINT (-77.07838510000001 -11.9258354),1382690505,0.0013058192409362227
1382690482,,,4,POINT (-77.0793054 -11.9258876),1382690505,0.002000732865718291
1382690483,,,3,POINT (-77.07797429999999 -11.9259202),1382690505,0.0010095370671698663
1382690487,,,3,POINT (-77.0805344 -11.9261419),1382690512,0.001826605882502753
1382690488,,,3,POINT (-77.07967240000001 -11.9261915),1382690505,0.0022249065530949436
1382690489,,,3,POINT (-77.0819302 -11.9262215),1382724978,0.0005378493841185593
1382690490,,,4,POINT (-77.0795746 -11.926267),1382690505,0.0021099651655846485
1382690492,,,3,POINT (-77.0801665 -11.9264254),1382690591,0.001944574961270759
1382690494,,,4,POINT (-77.0785676 -11.9264516),1382690505,0.0010942002924452035
1382690496,,,3,POINT (-77.0780123 -11.9264792),1382690505,0.0005883200574456404
1382690500,,,4,POINT (-77.0798793 -11.9266526),1382690591,0.0018221616448597176
1382690501,,,3,POINT (-77.0782186 -11.9267248),1382690505,0.0006852999343290701
1382690502,,,4,POINT (-77.0797814 -11.9267235),1382690591,0.0018014408122391673
1382690505,,,4,POINT (-77.07754180000001 -11.9268324),1382690505,0.0
1382690506,,,3,POINT (-77.0788589 -11.9268238),1382690505,0.0013171280765305235
1382690507,,,3,POINT (-77.08153679999999 -11.9268582),1382690512,0.0006259244203650896
1382690508,,,3,POINT (-77.07803850000001 -11.9268652),1382690505,0.0004977818096308153
1382690510,,,3,POINT (-77.08226380000001 -11.9269603),1382690512,0.00012470256613627778
1382690512,,,4,POINT (-77.0821461 -11.9270015),1382690512,0.0
1382690514,,,3,POINT (-77.0812682 -11.9270569),1382690523,0.0008576886264858517
1382690517,,,4,POINT (-77.0823062 -11.9270877),5064701346,7.10616633680781e-05
1382690519,,,3,POINT (-77.07756790000001 -11.9270996),1382690505,0.00026847169310712594
1382690522,,,3,POINT (-77.07998600000001 -11.9271749),1382690591,0.0013071467706395827
